Numero;Projeto-modelo;Disciplina;Nivel;Uso principal;Descricao
1;Residência térrea 70 m²;Estrutural;Básico;Estudo de lançamento estrutural;Planta de lançamento estrutural com pilares, vigas, sapatas e viga baldrame. Ambientes: sala, cozinha, 2 quartos, banheiro, área de serviço e varanda.
2;Residência térrea 100 m²;Estrutural;Básico/intermediário;Planta de formas e detalhes;Planta de formas, pilares, vigas, laje, fundações com sapatas isoladas, quadro de peças e detalhes típicos.
3;Sobrado 120 m²;Estrutural;Intermediário;Estrutura em dois pavimentos;Plantas de formas térreo e superior, pilares, vigas principais, escada em corte esquemático, fundação e quadro de peças.
4;Sobrado 180 m²;Estrutural;Avançado;Estrutura residencial de maior porte;Plantas de formas térreo/superior, vigas de transição destacadas, pilares, laje, escada, fundação conceitual e 3D explodido.
5;Edícula com área gourmet;Estrutural;Básico;Estrutura de obra pequena;Lançamento estrutural, pilares nos cantos, vigas de cobertura, fundação rasa, área gourmet referencial, detalhes de viga e pilar.
6;Garagem coberta em concreto armado;Estrutural;Básico;Pilares, vigas e cobertura;Planta de pilares e vigas, cobertura/laje indicada, detalhes de pilar/viga, fundação dos pilares e vista isométrica.
7;Fundação com sapatas isoladas;Estrutural;Intermediário;Locação e detalhe de fundação;Planta de locação de sapatas, eixos estruturais, pilares, vigas baldrame, corte de sapata típica, armadura conceitual e quadro de sapatas.
8;Fundação com viga baldrame;Estrutural;Básico/intermediário;Baldrames e cortes conceituais;Planta de baldrames, vigas VB, apoios, corte transversal, armadura conceitual, quadro de vigas e notas de impermeabilização.
9;Fundação tipo radier;Estrutural;Intermediário;Planta, corte e malha;Planta do radier, malha inferior representada, reforços a definir, corte A-A, detalhe de borda, observações e vista 3D.
10;Detalhamento completo de vigas;Estrutural;Intermediário;Leitura de armaduras conceituais;Vigas V1 e V2 em vista longitudinal, cortes transversais, armaduras superiores/inferiores, estribos, tabela de aço conceitual.
11;Detalhamento completo de pilares;Estrutural;Intermediário;Elevação e cortes de pilares;Pilares P1 e P2 em elevação, cortes transversais, armaduras longitudinais, estribos, regiões de emenda a validar e quadro de pilares.
12;Detalhamento de laje maciça;Estrutural;Intermediário;Armação de laje;Planta de armação da laje, armadura principal e secundária, corte, apoio, tabela de aço conceitual e notas sobre vãos e cargas.
13;Detalhamento de laje treliçada;Estrutural;Intermediário;Paginação e corte;Planta de paginação das vigotas, sentido das vigotas, blocos de enchimento, capa de concreto em corte, apoio e quadro de materiais.
14;Escada de concreto armado;Estrutural;Avançado;Planta, corte e armadura conceitual;Planta e corte longitudinal da escada, degraus, armadura principal inferior, distribuição, apoio superior/inferior e isométrico.
15;Muro de arrimo baixo;Estrutural;Avançado;Estudo de estabilidade e drenagem;Corte transversal, base/sapata, parede vertical, armaduras, dreno/barbacã como sugestão visual, elevação e notas de validação.
16;Bloco de coroamento para estacas;Estrutural;Avançado;Bloco, estacas e cortes;Planta do bloco, estacas, pilar central, cortes longitudinal/transversal, armaduras conceituais e vista 3D semitransparente.
17;Reservatório elevado pequeno;Estrutural;Avançado;Apoios, fundação e estabilidade;Planta da estrutura, pilares de apoio, vigas superiores, fundação dos apoios, vista lateral, 3D e notas de cargas/vento.
18;Estrutura para loja térrea;Estrutural;Intermediário;Estrutura comercial simples;Planta de formas, pilares periféricos, vigas principais, laje/cobertura, fundação conceitual, detalhe de viga de fachada e quadro de peças.
19;Estrutura para galpão pequeno;Estrutural;Avançado;Pórticos e cobertura;Locação de pilares, pórticos principais, fundação, estrutura de cobertura conceitual, corte transversal e vista 3D.
20;Reforma com reforço estrutural conceitual;Estrutural;Avançado;Reforma e intervenção preliminar;Planta existente simplificada, áreas de intervenção, reforço em viga/pilar, detalhe conceitual e notas de inspeção e cálculo obrigatório.
21;Planta elétrica residencial 70 m²;Elétrica;Básico;Pontos, QD e circuitos;Planta baixa com pontos elétricos, iluminação, interruptores, TUGs, TUEs, QD, circuitos C1 a C6, legenda, quadro e diagrama unifilar conceitual.
22;Planta elétrica residencial 100 m²;Elétrica;Básico/intermediário;Pontos e quadro de cargas conceitual;Distribuição de luz, interruptores, TUGs, TUEs para chuveiro, geladeira, máquina, ar-condicionado e forno, QD e quadro conceitual.
23;Planta elétrica de sobrado;Elétrica;Intermediário;Dois pavimentos;Planta elétrica térreo e superior, QD principal, circuitos por pavimento, pontos de iluminação, tomadas, TUEs, unifilar e quadro.
24;Projeto elétrico de edícula gourmet;Elétrica;Básico;Bancada, iluminação e TUEs;Iluminação, tomadas de bancada, frigobar, churrasqueira/forno como TUE a validar, tomadas externas, subquadro, legenda e quadro.
25;Projeto elétrico de loja pequena;Elétrica;Intermediário;Uso comercial;Planta com iluminação, tomadas de atendimento, caixa/balcão, equipamentos, QD, circuitos comerciais, quadro e unifilar conceitual.
26;Projeto elétrico de escritório pequeno;Elétrica;Intermediário;Estações, rack e ar-condicionado;Pontos de iluminação, tomadas para estações, impressora, ar-condicionado, rack/internet, QD, circuitos, legenda e quadro.
27;QDC residencial detalhado;Elétrica;Intermediário;Quadro conceitual;Quadro de distribuição conceitual, disjuntor geral a definir, barramentos, DR/DPS a definir, C1 a C8, unifilar e quadro.
28;Diagrama unifilar residencial;Elétrica;Intermediário;Fluxo elétrico conceitual;Entrada de energia, medidor, disjuntor geral, DPS, DR, QD e circuitos de iluminação, tomadas, chuveiro, ar-condicionado, cozinha e externa.
29;Padrão de entrada monofásico conceitual;Elétrica;Avançado;Entrada referencial;Poste ou mureta padrão esquemática, medidor, eletroduto, caixa de proteção, aterramento a definir, diagrama e notas de concessionária.
30;Padrão de entrada bifásico conceitual;Elétrica;Avançado;Entrada referencial;Mureta ou poste, caixa de medição, disjuntor geral a definir, eletrodutos, aterramento, diagrama até QD e notas de aprovação local.
31;Circuitos de iluminação e tomadas;Elétrica;Básico;Circuitos TUG e iluminação;Planta baixa, pontos de luz, interruptores, tomadas baixas/médias/altas, linhas de comando, circuitos de iluminação e TUGs, legenda e quadro.
32;Circuitos de chuveiro, ar-condicionado e TUE;Elétrica;Intermediário;Tomadas específicas;Pontos para chuveiro, ar-condicionado, forno/micro-ondas, máquina de lavar, geladeira, circuitos específicos e quadro de TUEs.
33;Planta elétrica com automação básica;Elétrica;Intermediário;Automação e lógica separadas;Iluminação, interruptores inteligentes, portão, câmeras, roteador/rack, circuitos elétricos e lógica separados, legenda e compatibilização.
34;Projeto elétrico para área externa/garagem;Elétrica;Intermediário;Iluminação externa e proteção;Iluminação externa, tomadas externas, ponto de portão, campainha/interfone, circuito de garagem/área externa, QD e notas de intempéries.
35;Compatibilização elétrica com arquitetura;Elétrica;Avançado;Interferências com arquitetura;Planta arquitetônica simplificada, layout mobiliário em baixa opacidade, pontos alinhados ao uso, conflitos comuns, legenda e quadro de observações.
36;Água fria residencial 70 m²;Hidrossanitário;Básico;Pontos e rede simples;Planta com rede de água fria, pontos de consumo, alimentação para cozinha, banheiro, área de serviço, caixa d’água, barrilete e isométrico.
37;Água fria residencial 100 m²;Hidrossanitário;Básico/intermediário;Rede principal e ramais;Rede principal, ramais para banheiro social, suíte, cozinha, lavanderia e área externa, caixa d’água, registros, legenda e isométrico.
38;Água quente residencial;Hidrossanitário;Intermediário;Água fria/quente;Tubulação de água quente, pontos de chuveiros/lavatórios/cozinha, aquecedor a definir, água fria/quente diferenciadas, isométrico e notas.
39;Esgoto sanitário residencial;Hidrossanitário;Intermediário;Ramais e caixas;Planta de esgoto, ramais de banheiro, cozinha e serviço, caixas de inspeção, caixa de gordura, sentido de fluxo, conexões conceituais e legenda.
40;Ventilação sanitária;Hidrossanitário;Intermediário;Tubo ventilador e corte;Planta com ramais de ventilação, tubo ventilador, ligação com ramais de esgoto, subida até cobertura, corte esquemático e legenda.
41;Projeto hidrossanitário de sobrado;Hidrossanitário;Avançado;Prumadas e pavimentos;Planta hidráulica térreo/superior, prumadas de água e esgoto, banheiro superior, cozinha térrea, área de serviço, isométrico e quadro.
42;Cozinha e área de serviço detalhadas;Hidrossanitário;Básico;Pontos e detalhe ampliado;Pontos de água fria e esgoto, pia, tanque, máquina de lavar, caixa de gordura, ramais, conexões, vista de parede hidráulica e legenda.
43;Banheiro social completo;Hidrossanitário;Básico/intermediário;Planta e elevação hidráulica;Planta ampliada de banheiro, lavatório, vaso, chuveiro, ralos, água fria, esgoto, ventilação, elevação da parede hidráulica e notas.
44;Banheiro suíte completo;Hidrossanitário;Intermediário;Água quente/fria e esgoto;Planta ampliada, bancada, vaso, box/chuveiro, água quente/fria se aplicável, esgoto, ventilação e detalhe vertical da parede hidráulica.
45;Caixa d’água e barrilete residencial;Hidrossanitário;Intermediário;Reservatório e barrilete;Caixa d’água superior, alimentação, saída, extravasor, limpeza, registro geral, barrilete simplificado, corte e legenda.
46;Rede de esgoto com caixas de inspeção;Hidrossanitário;Intermediário;Rede externa;Planta externa, caixas CI-1, CI-2, CI-3, caixa de gordura, sentido de fluxo, destinação a definir, legenda, quadro e notas.
47;Projeto hidráulico para edícula gourmet;Hidrossanitário;Básico/intermediário;Pia, lavabo e gordura;Pia gourmet, bancada/churrasqueira, lavabo se aplicável, água fria, esgoto, caixa de gordura, rede até ligação, legenda e isométrico.
48;Projeto hidrossanitário de loja pequena;Hidrossanitário;Intermediário;Copa e banheiro;Banheiro simples/acessível conceitual, copa pequena, água fria, esgoto, ventilação, caixa de inspeção, legenda e quadro de pontos.
49;Isométrico hidráulico residencial;Hidrossanitário;Avançado;Isométrico completo;Caixa d’água, barrilete, prumadas, ramais para banheiro/cozinha/serviço, pontos de consumo, registros, água fria/quente diferenciadas e legenda.
50;Compatibilização hidráulica com arquitetura;Hidrossanitário;Avançado;Interferências e ajustes;Planta arquitetônica em baixa opacidade, pontos hidráulicos sobrepostos, paredes hidráulicas, interferências com estrutura, ajustes, legenda e quadro.
