Codigo,Titulo,Categoria,Descricao
EST-01,"Viga Baldrame Residencial","Vigas","Viga baldrame sob paredes, corte e relação solo/alvenaria."
EST-02,"Viga Aérea em Concreto Armado","Vigas","Viga elevada apoiada em pilares, armadura conceitual e tabela de trechos."
EST-03,"Viga de Travamento entre Sapatas","Vigas","Travamento de fundações isoladas e ligação com pilares."
EST-04,"Viga de Borda para Laje","Vigas","Viga periférica associada à laje e fechamento."
EST-05,"Viga Invertida Conceitual","Vigas","Viga com alma acima da laje para estudo de interferência e altura útil."
EST-06,"Pilar Residencial em Concreto Armado","Pilares","Pilar simples com seção, estribos, armadura longitudinal e ligação com vigas."
EST-07,"Pilar de Canto com Vigas Conectadas","Pilares","Pilar em extremidade com vigas em duas direções."
EST-08,"Pilar de Borda","Pilares","Pilar lateral com excentricidade conceitual e tabela de identificação."
EST-09,"Pilar-Parede Conceitual","Pilares","Elemento vertical alongado para estudo de rigidez e distribuição."
EST-10,"Arranque de Pilar em Fundação","Pilares","Esperas, bloco/sapata, cobrimento e transição fundação-pilar."
EST-11,"Laje Maciça Unidirecional","Lajes","Laje apoiada em duas direções predominantes com sentido de armação."
EST-12,"Laje Maciça Bidirecional","Lajes","Painel com trabalho em duas direções, bordas e apoios."
EST-13,"Laje Treliçada com Enchimento","Lajes","Vigotas, enchimento, capa de concreto e apoios."
EST-14,"Laje em Balanço para Sacada","Lajes","Balanço, engastamento conceitual e alerta de cálculo especializado."
EST-15,"Laje com Shaft Técnico","Lajes","Abertura técnica, bordas reforçadas conceituais e compatibilização."
EST-16,"Sapata Isolada com Pilar Central","Fundações","Sapata, lastro, pilar, solo e critérios de estudo."
EST-17,"Sapata de Divisa","Fundações","Fundação em divisa e excentricidade conceitual."
EST-18,"Sapata Corrida sob Parede","Fundações","Fundação linear sob alvenaria e corte esquemático."
EST-19,"Radier Residencial Conceitual","Fundações","Laje de fundação, malha, juntas e regularização."
EST-20,"Bloco sobre Estacas","Fundações","Bloco, estacas, pilar e transferência de cargas."
EST-21,"Muro de Divisa com Fundação Corrida","Muros e contenções","Muro simples, fundação corrida, juntas e amarrações."
EST-22,"Muro de Arrimo em Concreto Armado","Muros e contenções","Corte do muro, base, empuxo e estabilidade conceitual."
EST-23,"Muro de Arrimo com Drenagem","Muros e contenções","Sistema drenante, barbacãs, brita e manta geotêxtil."
EST-24,"Muro com Contrafortes","Muros e contenções","Muro alto com reforços verticais e leitura estrutural."
EST-25,"Contenção em Terreno Inclinado","Muros e contenções","Corte conceitual de contenção e drenagem em talude."
EST-26,"Escada Reta em Concreto Armado","Elementos especiais","Lance, patamar, apoios e armadura conceitual."
EST-27,"Escada em L com Patamar","Elementos especiais","Mudança de direção, patamar e apoios."
EST-28,"Marquise em Balanço","Elementos especiais","Elemento em balanço e alerta de risco estrutural."
EST-29,"Base Estrutural para Caixa d'Água","Elementos especiais","Apoio, distribuição de cargas e elevação conceitual."
EST-30,"Reservatório Apoiado Conceitual","Elementos especiais","Base, paredes, impermeabilização e carregamento hidráulico."
EST-31,"Pórtico Metálico Simples","Metálicas e madeira","Colunas, viga, ligações e contraventamento conceitual."
EST-32,"Viga Metálica com Chapa de Ligação","Metálicas e madeira","Chapa, parafusos e ligação viga-pilar."
EST-33,"Pilar Metálico com Base Chumbada","Metálicas e madeira","Placa de base, chumbadores, graute e fundação."
EST-34,"Tesoura Metálica para Cobertura","Metálicas e madeira","Banzos, diagonais, montantes, apoios e terças."
EST-35,"Estrutura de Madeira para Cobertura","Metálicas e madeira","Terças, caibros, ripas e apoios conceituais."
EST-36,"Mapa de Fissuras em Viga","Patologias","Registro visual de fissuras, classificação inicial e alerta técnico."
EST-37,"Trinca em Pilar - Registro Visual","Patologias","Mapa de danos em pilar e ficha de observação."
EST-38,"Recalque Diferencial Conceitual","Patologias","Deslocamentos, fissuras associadas e necessidade de investigação."
EST-39,"Corrosão de Armadura em Laje","Patologias","Desplacamento, ferragem exposta e registro de risco."
EST-40,"Checklist de Vistoria Estrutural Inicial","Patologias","Roteiro não pericial para observação preliminar."
EST-41,"Compatibilização Pilar x Arquitetura","Compatibilização","Conflito com portas, vagas, circulação e layout."
EST-42,"Compatibilização Viga x Forro","Compatibilização","Altura livre, passagem de instalações e interferências."
EST-43,"Shaft Técnico atravessando Laje","Compatibilização","Abertura, borda de laje e passagem vertical."
EST-44,"Interferência Hidráulica em Viga","Compatibilização","Furo indevido, rota alternativa e alerta técnico."
EST-45,"Mapa de Conflitos Estruturais","Compatibilização","Quadro de conflitos entre disciplinas."
EST-46,"Planta Estrutural Residencial Modelo","Pranchas finais","Planta integrada de pilares, vigas, lajes e fundações."
EST-47,"Cortes Estruturais Integrados","Pranchas finais","Cortes mostrando estrutura do solo à cobertura."
EST-48,"Detalhamento Geral de Elementos Estruturais","Pranchas finais","Prancha resumo com detalhes típicos didáticos."
EST-49,"Quadro de Quantitativos Estruturais","Pranchas finais","Quadro de concreto, aço, forma e observações."
EST-50,"Dossiê Estrutural Conceitual para Estudo","Pranchas finais","Documento consolidado para apresentação educacional."